CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00002J,Macquarie University (Macquarie),001357G,Bachelor of Arts,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$128,500.00","$1,119.00","$129,619.00",No
00002J,Macquarie University (Macquarie),001359E,Bachelor of Arts - Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$123,000.00","$1,119.00","$124,119.00",No
00002J,Macquarie University (Macquarie),001362K,Bachelor of Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),001365G,Bachelor of Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$142,300.00","$1,119.00","$143,419.00",No
00002J,Macquarie University (Macquarie),001371J,Bachelor of Arts with the degree of Bachelor of Laws,,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,0.00,0,0,English,260,"$259,500.00","$1,865.00","$261,365.00",No
00002J,Macquarie University (Macquarie),001396M,Master of Clinical Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,14.00,75,"1,050",English,104,"$104,000.00",$746.00,"$104,746.00",No
00002J,Macquarie University (Macquarie),001403F,Doctor of Philosophy (Arts),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Doctoral Degree,No,No,,,,English,156,"$131,800.00",$0.00,"$131,800.00",No
00002J,Macquarie University (Macquarie),001404E,Doctor of Philosophy (Science and Engineering),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Doctoral Degree,No,No,,,,English,156,"$168,600.00",$0.00,"$168,600.00",No
00002J,Macquarie University (Macquarie),008653J,Study Abroad,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,"$11,900.00",$0.00,"$11,900.00",No
00002J,Macquarie University (Macquarie),0100138,Graduate Certificate of Education,,No,07 - Education,0703 - Curriculum and Education Studies,"070300 - Curriculum and Education Studies, n.f.d",,,,Graduate Certificate,No,No,,,,English,26,"$19,400.00",$186.50,"$19,586.50",No
00002J,Macquarie University (Macquarie),0100139,Master of Business Analytics,,No,02 - Information Technology,0203 - Information Systems,020307 - Decision Support Systems,,,,Masters Degree (Coursework),No,No,,,,English,104,"$97,900.00",$746.00,"$98,646.00",No
00002J,Macquarie University (Macquarie),0100917,Bachelor of Combined Studies in Arts / Engineering (Honours),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Honours Degree,No,Yes,35.00,12,420,English,260,"$233,900.00","$1,825.00","$235,725.00",No
00002J,Macquarie University (Macquarie),0100918,Bachelor of Combined Studies in Science / Engineering (Honours),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Honours Degree,No,Yes,35.00,12,420,English,260,"$251,400.00","$1,865.00","$253,265.00",No
00002J,Macquarie University (Macquarie),0100919,Master of Combined Studies in Applied Economics / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100920,Master of Combined Studies in Banking and Finance / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,182,"$172,900.00","$1,305.50","$174,205.50",No
00002J,Macquarie University (Macquarie),0100921,Master of Combined Studies in Business Analytics / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$148,300.00","$1,119.00","$149,419.00",No
00002J,Macquarie University (Macquarie),0100922,Master of Combined Studies in Commerce / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100923,Master of Combined Studies in Creative Industries / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$137,700.00","$1,119.00","$138,819.00",No
00002J,Macquarie University (Macquarie),0100924,Master of Combined Studies in Cybergovernance and Management / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$116,400.00",$912.50,"$117,312.50",No
00002J,Macquarie University (Macquarie),0100925,Master of Combined Studies in Finance / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$121,100.00",$932.50,"$122,032.50",No
00002J,Macquarie University (Macquarie),0100926,Master of Combined Studies in International Business / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100927,Master of Combined Studies in International Relations / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$114,600.00",$912.50,"$115,512.50",No
00002J,Macquarie University (Macquarie),0100928,Master of Combined Studies in International Trade and Commerce Law / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$116,400.00",$912.50,"$117,312.50",No
00002J,Macquarie University (Macquarie),0100929,Master of Combined Studies in Management / Marketing,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$121,100.00",$932.50,"$122,032.50",No
00002J,Macquarie University (Macquarie),0100930,Master of Combined Studies in Management / Media and Communications,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$137,700.00","$1,119.00","$138,819.00",No
00002J,Macquarie University (Macquarie),0100931,Master of Combined Studies in Management / Public and Social Policy,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$113,350.00",$932.50,"$114,282.50",No
00002J,Macquarie University (Macquarie),0101343,Bachelor of Combined Studies in Commerce / Education (Secondary),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,Yes,30.00,16,480,English,208,"$169,700.00","$1,404.00","$171,104.00",No
00002J,Macquarie University (Macquarie),0101344,Bachelor of Combined Studies in Education (Primary) / Psychology,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,Yes,36.00,16,576,English,208,"$164,000.00","$1,404.00","$165,404.00",No
00002J,Macquarie University (Macquarie),0101507,Master of Combined Studies in Business Analytics / Information Systems Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$148,000.00","$1,119.00","$149,119.00",No
00002J,Macquarie University (Macquarie),0101508,Master of Combined Studies in Business Analytics / Information Technology in Cyber Security,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$147,400.00","$1,119.00","$148,519.00",No
00002J,Macquarie University (Macquarie),0101509,Master of Combined Studies in Business Analytics / Information Technology in Networking,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$147,400.00","$1,119.00","$148,519.00",No
00002J,Macquarie University (Macquarie),0101874,Bachelor of Laws (Honours),,No,09 - Society and Culture,0909 - Law,090913 - Legal Practice,,,,Bachelor Honours Degree,No,No,,,,English,208,"$205,400.00","$1,492.00","$206,892.00",No
00002J,Macquarie University (Macquarie),018437A,Bachelor of Commerce with the degree of Bachelor of Laws,,Yes,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,0.00,0,0,English,260,"$254,200.00","$1,865.00","$256,065.00",No
00002J,Macquarie University (Macquarie),020161F,Bachelor of Medical Sciences,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$142,300.00","$1,119.00","$143,419.00",No
00002J,Macquarie University (Macquarie),021498F,Bachelor of Psychology (Honours),,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Honours Degree,No,No,0.00,0,0,English,208,"$186,500.00","$1,492.00","$187,992.00",No
00002J,Macquarie University (Macquarie),021499E,Bachelor of Education (Early Childhood Education) (Birth to 12),,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Bachelor Degree,No,Yes,40.00,18,720,English,208,"$167,300.00","$1,492.00","$168,792.00",No
00002J,Macquarie University (Macquarie),021502D,Doctor of Philosophy (Business and Economics),,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Doctoral Degree,No,No,,,,English,156,"$123,000.00",$0.00,"$123,000.00",No
00002J,Macquarie University (Macquarie),022767D,Master of Accounting (CPA Extension),,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Masters Degree (Coursework),No,No,0.00,0,0,English,130,"$121,100.00",$932.50,"$122,032.50",No
00002J,Macquarie University (Macquarie),027337G,Bachelor of Social Science,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$136,300.00","$1,119.00","$137,419.00",No
00002J,Macquarie University (Macquarie),027342M,Bachelor of Applied Finance,,No,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081101 - Banking and Finance,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),027343K,Bachelor of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),027361G,Combined PHD/Masters in Clinical Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Doctoral Degree,No,No,0.00,0,0,English,156,"$168,600.00",$0.00,"$168,600.00",No
00002J,Macquarie University (Macquarie),027373D,Master of Clinical Audiology,,No,06 - Health,0617 - Rehabilitation Therapies,061709 - Audiology,,,,Masters Degree (Coursework),No,Yes,25.00,10,250,English,104,"$129,500.00",$746.00,"$130,246.00",No
00002J,Macquarie University (Macquarie),027374C,Master of Clinical Neuropsychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,14.00,75,"1,050",English,104,"$104,000.00",$746.00,"$104,746.00",No
00002J,Macquarie University (Macquarie),028662J,Study Abroad,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,"$23,800.00",$0.00,"$23,800.00",No
00002J,Macquarie University (Macquarie),028866G,Bachelor of Chiropractic Science,,No,06 - Health,0617 - Rehabilitation Therapies,061705 - Chiropractic and Osteopathy,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$154,000.00","$1,119.00","$155,119.00",No
00002J,Macquarie University (Macquarie),030053E,Master of Organisational Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,14.00,75,"1,050",English,104,"$104,000.00",$746.00,"$104,746.00",No
00002J,Macquarie University (Macquarie),030079F,Master of Arts,,No,09 - Society and Culture,0915 - Language and Literature,091523 - Literature,,,,Masters Degree (Coursework),No,No,0.00,0,0,English,52,$0.00,$0.00,"$30,752.00",No
00002J,Macquarie University (Macquarie),030375J,Bachelor of Applied Finance with the degree of Bachelor of Economics,,Yes,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081101 - Banking and Finance,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Bachelor Degree,No,No,0.00,0,0,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),031133G,Bachelor of Business Administration with the degree of Bachelor of Arts - Psychology,,Yes,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Bachelor Degree,No,No,0.00,0,0,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),031331B,Bachelor of Science - Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$123,000.00","$1,119.00","$124,119.00",No
00002J,Macquarie University (Macquarie),037278J,Bachelor of Marine Science,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010907 - Marine Science,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$142,600.00","$1,119.00","$143,719.00",No
00002J,Macquarie University (Macquarie),037283A,Bachelor of Arts - Psychology with the degree of Bachelor of Laws,,Yes,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,0.00,0,0,English,260,"$150,000.00","$1,515.00","$151,515.00",No
00002J,Macquarie University (Macquarie),037296G,Exchange Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,,,$1.00,No
00002J,Macquarie University (Macquarie),037297F,Exchange Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,,,$1.00,No
00002J,Macquarie University (Macquarie),037303B,Master of Speech and Language Pathology,,No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,,,,Masters Degree (Coursework),No,Yes,11.00,60,660,English,104,"$129,500.00",$746.00,"$130,246.00",No
00002J,Macquarie University (Macquarie),043333A,Bachelor of e-Business,,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$144,600.00","$1,119.00","$145,719.00",No
00002J,Macquarie University (Macquarie),045284M,Master of International Trade and Commerce Law,,No,09 - Society and Culture,0909 - Law,090909 - International Law,,,,Masters Degree (Coursework),No,No,0.00,0,0,English,52,"$46,900.00",$373.00,"$47,273.00",No
00002J,Macquarie University (Macquarie),047324C,Bachelor of Education (Primary),,No,07 - Education,0701 - Teacher Education,070103 - Teacher Education: Primary,,,,Bachelor Degree,No,Yes,35.00,12,420,English,104,"$82,400.00",$746.00,"$83,146.00",No
00002J,Macquarie University (Macquarie),047326A,Bachelor of Engineering,,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Bachelor Degree,No,Yes,36.00,15,540,English,208,$0.00,$0.00,"$139,968.00",No
00002J,Macquarie University (Macquarie),047327M,Bachelor of Information Technology,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$144,600.00","$1,119.00","$145,719.00",No
00002J,Macquarie University (Macquarie),047337J,Master of Laws,,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",,,,Masters Degree (Coursework),No,No,0.00,0,0,English,52,"$47,800.00",$373.00,"$48,173.00",No
00002J,Macquarie University (Macquarie),048246D,Bachelor of Commerce,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),054336G,Bachelor of International Studies,,No,09 - Society and Culture,0915 - Language and Literature,"091599 - Language and Literature, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$136,300.00","$1,119.00","$137,419.00",No
00002J,Macquarie University (Macquarie),056664G,Master of Philosophy (Business and Economics),,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Masters Degree (Research),No,No,,,,English,104,"$80,400.00",$0.00,"$80,400.00",No
00002J,Macquarie University (Macquarie),056667E,Master of Philosophy (Arts),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Masters Degree (Research),No,No,,,,English,104,"$86,100.00",$0.00,"$86,100.00",No
00002J,Macquarie University (Macquarie),056670K,Master of Philosophy (Science and Engineering),,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$110,200.00",$0.00,"$110,200.00",No
00002J,Macquarie University (Macquarie),058390B,Master of Teaching (Birth to Five Years),,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Masters Degree (Coursework),No,Yes,30.00,16,480,English,104,"$79,400.00",$746.00,"$80,146.00",No
00002J,Macquarie University (Macquarie),060660M,Master of Advanced Surgery,,No,06 - Health,0601 - Medical Studies,060103 - Surgery,,,,Masters Degree (Coursework),No,Yes,25.00,30,750,English,52,"$20,000.00",$0.00,"$20,000.00",No
00002J,Macquarie University (Macquarie),060661K,Master of Surgery,,No,06 - Health,0601 - Medical Studies,060103 - Surgery,,,,Masters Degree (Coursework),No,Yes,15.00,60,900,English,104,"$40,000.00",$0.00,"$40,000.00",No
00002J,Macquarie University (Macquarie),060724M,Bachelor of Planning,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,,,,Bachelor Degree,No,Yes,25.00,6,150,English,208,"$194,000.00","$1,492.00","$195,492.00",No
00002J,Macquarie University (Macquarie),060726J,Bachelor of Engineering with the degree of Bachelor of Commerce,,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,No,,,,English,260,"$257,400.00","$1,865.00","$259,265.00",No
00002J,Macquarie University (Macquarie),060727G,Bachelor of Engineering with the degree of Bachelor of Science,,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,,,,English,260,$0.00,$0.00,"$174,960.00",No
00002J,Macquarie University (Macquarie),064238D,Doctor of Philosophy (Human Sciences - Low Cost),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Doctoral Degree,No,No,,,,English,156,"$106,278.00",$0.00,"$106,278.00",No
00002J,Macquarie University (Macquarie),064239C,Doctor of Philosophy (Human Sciences - High Cost),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Doctoral Degree,No,No,,,,English,156,"$168,600.00",$0.00,"$168,600.00",No
00002J,Macquarie University (Macquarie),064240K,Master of Philosophy (Human Sciences - Low Cost),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$70,852.00",$0.00,"$70,852.00",No
00002J,Macquarie University (Macquarie),064241J,Master of Philosophy (Human Sciences - High Cost),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$110,200.00",$0.00,"$110,200.00",No
00002J,Macquarie University (Macquarie),067838M,Bachelor of Actuarial Studies,,No,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081103 - Insurance and Actuarial Studies,,,,Bachelor Degree,No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),067842D,Bachelor of Actuarial Studies with the degree of Bachelor of Science,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),067843C,Bachelor of Advanced Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$142,600.00","$1,119.00","$143,719.00",No
00002J,Macquarie University (Macquarie),067844B,Bachelor of Applied Finance with the degree of Bachelor of Actuarial Studies,,Yes,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081101 - Banking and Finance,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081103 - Insurance and Actuarial Studies,Bachelor Degree,No,No,,,,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),067845A,Bachelor of Applied Finance with the degree of Bachelor of Commerce - Professional Accounting,,Yes,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081101 - Banking and Finance,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,Bachelor Degree,No,No,,,,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),067846M,Bachelor of Arts with the degree of Bachelor of Commerce,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$185,400.00","$1,492.00","$186,892.00",No
00002J,Macquarie University (Macquarie),067848J,Bachelor of Biodiversity and Conservation,,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050901 - Land, Parks and Wildlife Management",,,,Bachelor Degree,No,No,,,,English,156,"$142,300.00","$1,119.00","$143,419.00",No
00002J,Macquarie University (Macquarie),067850D,Bachelor of Business Administration with the degree of Bachelor of Commerce - Professional Accounting,,Yes,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,Bachelor Degree,No,No,,,,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),067851C,Bachelor of Commerce - Professional Accounting,,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Bachelor Degree,No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),067856J,Bachelor of Commerce with the degree of Bachelor of Science,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),067858G,Bachelor of Environment,,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050900 - Environmental Studies, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$142,300.00","$1,119.00","$143,419.00",No
00002J,Macquarie University (Macquarie),067866G,Bachelor of Business Administration with the degree of Bachelor of Arts,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,No,,,,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),068544F,Master of Management General Exchange Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,,,,English,13,,,$0.00,No
00002J,Macquarie University (Macquarie),070063E,Doctor of Philosophy (Human Sciences - Mid Cost),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Doctoral Degree,No,No,,,,English,156,"$150,400.00",$0.00,"$150,400.00",No
00002J,Macquarie University (Macquarie),070064D,Master of Philosophy (Human Sciences - Mid Cost),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Research),No,No,,,,English,104,"$98,300.00",$0.00,"$98,300.00",No
00002J,Macquarie University (Macquarie),070505F,Master of Advanced Medicine,,No,06 - Health,0601 - Medical Studies,"060199 - Medical Studies, n.e.c.",,,,Masters Degree (Coursework),No,Yes,25.00,30,750,English,52,"$20,000.00",$0.00,"$20,000.00",No
00002J,Macquarie University (Macquarie),072063M,Bachelor of Arts - Media,,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$139,000.00","$1,119.00","$140,119.00",No
00002J,Macquarie University (Macquarie),074754A,Bachelor of Marketing and Media,,No,08 - Management and Commerce,0805 - Sales and Marketing,080505 - Marketing,,,,Bachelor Degree,No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),075047J,Bachelor of Arts with the degree of Bachelor of Education (Primary),,Yes,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",07 - Education,0701 - Teacher Education,070103 - Teacher Education: Primary,Bachelor Degree,No,Yes,35.00,16,560,English,208,"$171,500.00","$1,492.00","$172,992.00",No
00002J,Macquarie University (Macquarie),075265K,Doctor of Physiotherapy,,No,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,,,,Masters Degree (Extended),No,Yes,35.00,32,"1,120",English,156,"$196,900.00","$1,119.00","$198,019.00",No
00002J,Macquarie University (Macquarie),077336F,Doctor of Advanced Surgery,,No,06 - Health,0601 - Medical Studies,060103 - Surgery,,,,Doctoral Degree,No,Yes,30.00,60,"1,800",English,156,$0.00,$0.00,"$118,856.00",No
